time,G1-B_qload,G1-B_pload,G1-C_qload,G1-C_pload,G2-A_qload,G2-A_pload,G3-A_qload,G3-A_pload,G4-A_qload,G4-A_pload,G5-A_qload,G5-A_pload,G6-A_qload,G6-A_pload,H0-A_qload,H0-A_pload,H0-B_qload,H0-B_pload,H0-C_qload,H0-C_pload,H0-G_qload,H0-G_pload,H0-L_qload,H0-L_pload
2016-01-01 00:00:00,0,0.030172,0.05376,0.062467,0.219096,0.259777,0.241342,0.351171,0,0.43298,0.107109,0.080233,0.280303,0.242945,-0.067519,0.276685,-0.014175,0.065826,0.242253,0.237082,0.031741,0.084229,0.003869,0.053517
2016-01-01 00:15:00,0.021812,0.051724,0,0.030596,0.294484,0.182495,0.160782,0.349565,0.057541,0.293855,0.062849,0.074402,0.327119,0.228407,0.060412,0.066011,0.212622,0.190476,0.007691,0.066869,0.353684,0.159498,0.003869,0.019878
2016-01-01 00:30:00,0.021812,0.047414,0,0.02794,0.343957,0.197393,0.23288,0.401338,0.044679,0.283867,0.070226,0.075802,0.307448,0.247843,0.074627,0.206461,0.060243,0.168067,0.011536,0.06383,0.4217,0.163082,0,0.021407
2016-01-01 00:45:00,0.010906,0.051724,0,0.029215,0.32511,0.189013,0.135395,0.38796,0.052576,0.302328,0.077603,0.078717,0.344232,0.230351,0.010661,0.127809,0.010631,0.113445,0.026917,0.06535,0.027206,0.181004,-0.011606,0.01682
2016-01-01 01:00:00,0,0.030172,0,0.029215,0.310975,0.17784,0.177707,0.38796,0.04513,0.300812,0.084979,0.084548,0.312366,0.25655,0.024876,0.108146,0.024806,0.134454,0.026917,0.075988,0.049879,0.243728,0.027082,0.027523
2016-01-01 01:15:00,0,0.030172,0,0.029215,0.294484,0.172253,0.211555,0.433177,0.053704,0.302149,0.081144,0.077318,0.327119,0.233227,0.017768,0.103933,0.031893,0.141457,0,0.074468,0.294737,0.318996,0.019344,0.019878
2016-01-01 01:30:00,0.021812,0.047414,0,0.029215,0.332177,0.181564,0.199031,0.391304,0.059797,0.304111,0.051637,0.068571,0.336954,0.255617,0.127932,0.117978,-0.017719,0.10084,0.046144,0.06231,0.018138,0.471326,0.034819,0.022936
2016-01-01 01:45:00,0.010906,0.047414,0,0.029215,0.259146,0.14432,0.207494,0.394649,0.058217,0.305449,0.095897,0.08898,0.312366,0.233227,0.099502,0.094101,0.038981,0.092437,0.076906,0.06383,-0.058947,0.277778,0.034819,0.036697
2016-01-01 02:00:00,0.032718,0.051724,0,0.030596,0.124861,0.074488,0.23288,0.453244,0.06273,0.32819,0.059013,0.068571,0.302531,0.263391,0.049751,0.08427,0,0.088235,0.053834,0.053191,0.013603,0.270609,-0.019344,0.027523
2016-01-01 02:15:00,0,0.043103,0,0.031871,0.160199,0.089385,0.139796,0.423144,0.051899,0.337555,0.073767,0.075802,0.317283,0.230351,-0.024876,0.078652,0.063787,0.088235,-0.030762,0.048632,0,0.268817,0.003869,0.024465
